Nivel,Aceitavel
55.3,1
56.1,1
57.9,1
65.3,1
55.9,1
56.8,1
58.8,1
68.7,1
56.1,1
57.8,1
62.2,1
56.1,1
57.8,1
59.8,1
55.9,1
57,1
59.8,1
73,1
55.3,1
56.8,1
58.8,1
65.3,1
55.9,1
57,1
58.8,1
69,1
56.1,1
57.8,1
62.2,1
56.1,1
57.9,1
65.3,1
55.3,1
56.1,1
57.9,1
65.3,1
55.9,1
57,1
59.8,1
73,1
63.8,0
65.1,0
71.2,0
79.3,0
63.8,0
67.4,0
73.1,0
83,0
64.7,0
70.4,0
79.3,0
63.9,0
67.4,0
74.6,0
63.9,0
67.4,0
74.6,0
83,0
65.1,0
71.2,0
79.3,0
64.7,0
68.7,0
74.6,0
63.8,0
67.4,0
73.1,0
83,0
63.9,0
68.7,0
74.6,0
65.1,0
70.4,0
79.3,0
64.7,0
68.7,0
79.3,0
